COD_REG,COD_PRO,COD_ISTAT,PRO_COM,NOME,COD_IPA,COD_ISTAWikipedia
12,57,12057015,57015,Castel Sant'Angelo,c_c268,057015
12,57,12057016,57016,Cittaducale,c_c746,057016
12,57,12057017,57017,Cittareale,c_c749,057017
13,66,13066008,66008,Barete,c_a656,066008
13,66,13066016,66016,Campotosto,c_b569,066016
13,66,13066021,66021,Capitignano,c_b658,066021
13,66,13066056,66056,Montereale,c_f595,066056
13,66,13066072,66072,Pizzoli,c_g726,066072
13,67,13067034,67034,Pietracamela,c_g608,067034
13,67,13067036,67036,Rocca Santa Maria,c_h440,067036
13,67,13067041,67041,Teramo,c_l103,067041
13,67,13067043,67043,Torricella Sicura,c_l295,067043
13,67,13067045,67045,Tossicia,c_l314,067045
13,67,13067046,67046,Valle Castellana,c_l597,067046
13,68,13068019,68019,Farindola,c_d501,068019
13,67,13067008,67008,Campli,c_b515,067008
13,67,13067010,67010,Castel Castagna,c_c040,067010
13,67,13067012,67012,Castelli,c_c169,067012
13,67,13067017,67017,Civitella del Tronto,c_c781,067017
13,67,13067018,67018,Colledara,c_c311,067018
13,66,13066013,66013,Cagnano Amiterno,c_b358,066013
